,TF,target,importance
237,EGR2,IL8,0.4970482795103177
238,USP9Y,IL8,-0.31957438233292546
239,C1QB,IL8,-0.6351524814205021
240,LCN2,IL8,-0.2478852850615296
241,CXCL1,IL8,0.8838899416418503
242,CTSG,IL8,-0.3444100476968058
243,SPACA3,IL8,-0.3813825823275785
244,CD27,IL8,-0.3376701013248909
245,CAMP,IL8,-0.3480221997039629
246,LRRN3,IL8,-0.10220182590286198
247,IL1R1,IL8,-0.08217078385737504
248,SLC11A1,IL8,0.04794424767777868
249,F2RL1,IL8,0.27639920984309857
250,SERPING1,IL8,0.010477061374533737
251,TCF7,IL8,-0.3559820556305526
252,HLA-DRB4,LTF,-0.3356625471140728
253,HLA-DQA1,LTF,-0.2598150210884068
254,HLA-DQB1,LTF,-0.15997334452836653
255,IL1R2,LTF,0.8312709302471103
256,IL32,LTF,-0.6277930762648892
257,FCER1A,LTF,-0.8379663574810844
258,IL8,LTF,-0.4010277614401975
259,LTF,LTF,1.0
260,ARG1,LTF,0.9537708361824142
261,EGR1,LTF,0.9140471763196087
262,CHIT1,LTF,0.9816837512823352
263,CEACAM6,LTF,0.9961587003958874
264,PTGS2,LTF,-0.13324553375218862
265,PTGDR2,LTF,-0.7244051380731233
266,IL3RA,LTF,-0.4814769193523065
267,FLT3,LTF,0.9900286548637828
268,CEACAM8,LTF,0.9986470955107364
269,IDO1,LTF,-0.7069152844499269
270,FN1,LTF,0.04742976305447712
271,FOS,LTF,0.4146347318847462
272,C3AR1,LTF,-0.20289970842859892
273,EGR2,LTF,-0.0200775132517566
274,USP9Y,LTF,0.946640416522604
275,C1QB,LTF,0.449639589017867
276,LCN2,LTF,0.986011437474038
277,CXCL1,LTF,0.03364915593602312
278,CTSG,LTF,0.9863174627271905
279,SPACA3,LTF,0.943847237724782
280,CD27,LTF,-0.6753785079129199
281,CAMP,LTF,0.9955504867045591
282,LRRN3,LTF,-0.8397922119914835
283,IL1R1,LTF,0.941612977818106
284,SLC11A1,LTF,0.7181338189609097
285,F2RL1,LTF,0.628594365145854
286,SERPING1,LTF,-0.767860016531246
287,TCF7,LTF,-0.5229257081293658
288,HLA-DRB4,ARG1,-0.3446601521407339
289,HLA-DQA1,ARG1,-0.3551691957635341
290,HLA-DQB1,ARG1,-0.09797467483610972
291,IL1R2,ARG1,0.9588002537235576
292,IL32,ARG1,-0.4913164873464485
293,FCER1A,ARG1,-0.9548260673731884
294,IL8,ARG1,-0.41223858876058
295,LTF,ARG1,0.9537708361824142
296,ARG1,ARG1,1.0
297,EGR1,ARG1,0.8561561465056041
298,CHIT1,ARG1,0.8854176072665928
299,CEACAM6,ARG1,0.9305766207815882
300,PTGS2,ARG1,-0.1085081293136166
301,PTGDR2,ARG1,-0.8361307614217274
302,IL3RA,ARG1,-0.5332895397054273
303,FLT3,ARG1,0.9790716160016156
304,CEACAM8,ARG1,0.9407561724138296
305,IDO1,ARG1,-0.8450633344829472
306,FN1,ARG1,0.3277478799657875
307,FOS,ARG1,0.4354503863142801
308,C3AR1,ARG1,0.013547694332567849
309,EGR2,ARG1,-0.06914733673574695
310,USP9Y,ARG1,0.8082611258200887
311,C1QB,ARG1,0.254463556783784
312,LCN2,ARG1,0.9480230065973504
313,CXCL1,ARG1,0.05621066361366327
314,CTSG,ARG1,0.9842334546482016
315,SPACA3,ARG1,0.8036470211415739
316,CD27,ARG1,-0.6921614062998903
317,CAMP,ARG1,0.9586348373412206
318,LRRN3,ARG1,-0.7642045050048949
319,IL1R1,ARG1,0.8794635313531667
320,SLC11A1,ARG1,0.7985617653943586
321,F2RL1,ARG1,0.6933821973726373
322,SERPING1,ARG1,-0.8845732789654414
323,TCF7,ARG1,-0.5960115173405898
324,HLA-DRB4,EGR1,-0.027520938167459843
325,HLA-DQA1,EGR1,-0.5470973512849214
326,HLA-DQB1,EGR1,-0.4431028386418872
327,IL1R2,EGR1,0.7400623320212478
328,IL32,EGR1,-0.3479672964122921
329,FCER1A,EGR1,-0.6883028297035572
330,IL8,EGR1,-0.04832020705344443
331,LTF,EGR1,0.9140471763196087
332,ARG1,EGR1,0.8561561465056041
333,EGR1,EGR1,1.0
334,CHIT1,EGR1,0.9305938116131908
335,CEACAM6,EGR1,0.9296124042793138
336,PTGS2,EGR1,0.2306722781930756
337,PTGDR2,EGR1,-0.459156912167419
338,IL3RA,EGR1,-0.1798149325653783
339,FLT3,EGR1,0.8761255550562008
340,CEACAM8,EGR1,0.9228967200426464
341,IDO1,EGR1,-0.7721342402925628
342,FN1,EGR1,-0.13439003484027934
343,FOS,EGR1,0.6388280828137947
344,C3AR1,EGR1,-0.3088297049977117
345,EGR2,EGR1,0.34376066518752685
346,USP9Y,EGR1,0.8797712531452736
347,C1QB,EGR1,0.16834822495364307
348,LCN2,EGR1,0.9562979493120743
349,CXCL1,EGR1,0.38186841689479
350,CTSG,EGR1,0.911957493615852
351,SPACA3,EGR1,0.8524011857443119
352,CD27,EGR1,-0.8906373293004051
353,CAMP,EGR1,0.9149925450758936
354,LRRN3,EGR1,-0.9863094505331412
355,IL1R1,EGR1,0.9537381117655626
356,SLC11A1,EGR1,0.8646176298115767
357,F2RL1,EGR1,0.8448111278381184
358,SERPING1,EGR1,-0.7878045547813928
359,TCF7,EGR1,-0.7780696062310508
360,HLA-DRB4,CHIT1,-0.23381063336797475
361,HLA-DQA1,CHIT1,-0.267603533735057
362,HLA-DQB1,CHIT1,-0.27242384555999377
363,IL1R2,CHIT1,0.7276442404412015
364,IL32,CHIT1,-0.6605065016219526
365,FCER1A,CHIT1,-0.7199074861880536
366,IL8,CHIT1,-0.2999230171966995
367,LTF,CHIT1,0.9816837512823352
368,ARG1,CHIT1,0.8854176072665928
369,EGR1,CHIT1,0.9305938116131908
370,CHIT1,CHIT1,1.0
371,CEACAM6,CHIT1,0.9940377530562556
372,PTGS2,CHIT1,-0.05967387139449501
373,PTGDR2,CHIT1,-0.6159068785065838
374,IL3RA,CHIT1,-0.357545822822863
375,FLT3,CHIT1,0.9452814629353504
376,CEACAM8,CHIT1,0.9864282373698168
377,IDO1,CHIT1,-0.6316811122094632
378,FN1,CHIT1,-0.1388123733655698
379,FOS,CHIT1,0.4630233666130452
380,C3AR1,CHIT1,-0.3704963067888977
381,EGR2,CHIT1,0.03391652428819132
382,USP9Y,CHIT1,0.9866320755673902
383,C1QB,CHIT1,0.5004435794737531
384,LCN2,CHIT1,0.9776323934316724
