CAMP IL1R1 0.9224403879040622
IL1R1 CAMP 0.9224403879040618
ARG1 FLT3 0.9221293363192224
FLT3 ARG1 0.9221293363192224
CEACAM8 CTSG 0.9201891134730564
CTSG CEACAM8 0.9201891134730555
F2RL1 C3AR1 0.9182387346052909
C3AR1 F2RL1 0.9182387346052909
CHIT1 LCN2 0.9169784761742973
LCN2 CHIT1 0.9169784761742973
CHIT1 LTF 0.9159856770551165
LTF CHIT1 0.915985677055116
IL1R1 LTF 0.9151422109940068
LTF IL1R1 0.9151422109940064
PTGS2 HLA-DRB4 0.9117613733362514
HLA-DRB4 PTGS2 0.911761373336251
CD27 TCF7 0.9093915253457537
TCF7 CD27 0.9093915253457537
IL8 PTGS2 0.9092091849717688
PTGS2 IL8 0.9092091849717688
SERPING1 IL3RA 0.9091412624913988
IL3RA SERPING1 0.9091412624913988
CEACAM8 EGR1 0.9078718413183368
EGR1 CEACAM8 0.9078718413183363
TCF7 HLA-DQA1 0.8983371335369722
HLA-DQA1 TCF7 0.8983371335369718
CAMP CHIT1 0.8957367145931275
CHIT1 CAMP 0.8957367145931271
CTSG CEACAM6 0.8949913781196307
CEACAM6 CTSG 0.8949913781196307
FLT3 CEACAM6 0.8940429582229239
CEACAM6 FLT3 0.8940429582229239
EGR2 FCER1A 0.8845793282293077
FCER1A EGR2 0.8845793282293077
EGR1 LTF 0.881081803581155
LTF EGR1 0.881081803581155
SLC11A1 ARG1 0.879730171454334
ARG1 SLC11A1 0.879730171454334
FN1 IL3RA 0.8796587752957842
IL3RA FN1 0.8796587752957842
CTSG C3AR1 0.8775450753846497
C3AR1 CTSG 0.8775450753846494
CXCL1 FOS 0.873637261850323
FOS CXCL1 0.873637261850323
CAMP EGR1 0.869436686067902
EGR1 CAMP 0.8694366860679016
USP9Y PTGDR2 0.8608013067630229
PTGDR2 USP9Y 0.8608013067630229
HLA-DRB4 CXCL1 0.8591175254058668
CXCL1 HLA-DRB4 0.8591175254058664
USP9Y IL1R1 0.8574150121638876
IL1R1 USP9Y 0.8574150121638876
SPACA3 CEACAM6 0.8518427254000162
CEACAM6 SPACA3 0.8518427254000162
CEACAM6 USP9Y 0.8497703116864107
USP9Y CEACAM6 0.8497703116864103
CXCL1 IL8 0.8439553818072195
IL8 CXCL1 0.8439553818072195
IL1R1 SPACA3 0.8432046563646823
SPACA3 IL1R1 0.8432046563646823
PTGDR2 EGR2 0.8427205745225868
EGR2 PTGDR2 0.8427205745225868
PTGDR2 SPACA3 0.83359606853794
SPACA3 PTGDR2 0.83359606853794
USP9Y EGR1 0.8315501114511835
EGR1 USP9Y 0.8315501114511835
CD27 HLA-DQA1 0.8303430200850965
HLA-DQA1 CD27 0.8303430200850961
IL1R2 ARG1 0.8273785327233799
ARG1 IL1R2 0.8273785327233799
CTSG IL1R1 0.8253725159204989
IL1R1 CTSG 0.8253725159204984
USP9Y FCER1A 0.8250269116881002
FCER1A USP9Y 0.8250269116880996
CD27 LRRN3 0.8189460140859384
LRRN3 CD27 0.8189460140859379
SPACA3 EGR1 0.8137376957416178
EGR1 SPACA3 0.8137376957416174
SPACA3 CEACAM8 0.8119683163065392
CEACAM8 SPACA3 0.8119683163065392
ARG1 CAMP 0.8075318558685074
CAMP ARG1 0.8075318558685074
USP9Y CEACAM8 0.8062256288470117
CEACAM8 USP9Y 0.8062256288470117
C1QB SPACA3 0.8013897014712216
SPACA3 C1QB 0.8013897014712211
FCER1A SPACA3 0.7966875069416547
SPACA3 FCER1A 0.7966875069416547
CTSG SLC11A1 0.7940234583634166
SLC11A1 CTSG 0.7940234583634166
C1QB USP9Y 0.7925203523548694
USP9Y C1QB 0.792520352354869
PTGS2 FOS 0.786037268049775
FOS PTGS2 0.786037268049775
